Date,Close,High,Low,Open,Volume
2015-01-02,14.346336364746094,14.456692845942827,14.320369551210009,14.43072603240674,2210300
2015-01-05,14.210016250610352,14.378796861875259,14.184050669428263,14.359322985530216,2444900
2015-01-06,14.151590347290039,14.32037093711145,14.11264136138231,14.261946839166887,2265900
2015-01-07,14.281424522399902,14.287916227580931,14.13861072291572,14.16457630547368,1655400
2015-01-08,14.469679832458496,14.502137119242603,14.352831618969907,14.365813790783875,879900
2015-01-09,14.606001853942871,14.7033749520026,14.586526739064476,14.683901075290324,1932700
2015-01-12,14.437223434448242,14.528104841365597,14.404766142882417,14.528104841365597,1508300
2015-01-13,14.437223434448242,14.54108825325845,14.320375203745181,14.463190258233947,1870100
2015-01-14,14.242473602294922,14.274930885642036,14.125625401179725,14.216506785084437,2055800
2015-01-15,14.326863288879395,14.44371149005154,14.274930892599109,14.4177446728284,3659900
2015-01-16,14.48914909362793,14.495640796549992,14.21001205880789,14.21001205880789,1953200
2015-01-20,14.300897598266602,14.352829994141784,14.197032806516235,14.3268631771212,1283700
2015-01-21,14.430729866027832,14.567053196975868,14.372305758216696,14.482662268730383,2670400
2015-01-22,14.424239158630371,14.521613503828323,14.398273574566154,14.45020598086082,2110700
2015-01-23,14.281424522399902,14.365814213420972,14.25545770167578,14.320373515319922,1943600
2015-01-26,14.333358764648438,14.36581605655169,14.255459530647784,14.313883646606694,1135200
2015-01-27,14.359323501586914,14.417746370887784,14.326864976235164,14.378797378631825,1300900
2015-01-28,14.281424522399902,14.554069949172364,14.25545770167578,14.547578243991333,2074500
2015-01-29,14.31387996673584,14.326863375425841,14.15159107260883,14.261947570141837,1584800
2015-01-30,14.2294921875,14.346340404987753,14.190543194392802,14.19703489960503,1610900
2015-02-02,14.521610260009766,14.54108413416632,14.41774423245566,14.456694457100683,1886300
2015-02-03,14.833206176757812,14.94356268177466,14.560560766608308,14.573544176178782,2460900
2015-02-04,14.75531005859375,14.872158292953582,14.729344472161756,14.80724246962408,3222600
2015-02-05,15.02146053314209,15.027952237871267,14.872155038869291,14.872155038869291,1437000
2015-02-06,14.924087524414062,14.995495038679813,14.878646829214434,14.924087524414062,2338600
2015-02-09,14.904614448547363,15.027954379647884,14.891632275404875,14.94356468247358,2138900
2015-02-10,14.898125648498535,14.937074648617783,14.820226410093655,14.891633942117597,1193600
2015-02-11,14.677408218383789,14.71635720691757,14.593017298700238,14.71635720691757,1672900
2015-02-12,14.768294334411621,14.8202267484785,14.62548050526931,14.631972211798471,1859300
2015-02-13,15.079886436462402,15.131818842324895,15.014970619592729,15.027954030599908,1803000
2015-02-17,15.177257537841797,15.183749242487863,15.060410568710768,15.086376149128977,1798700
2015-02-18,15.24866771697998,15.30060012506273,15.144802900814485,15.164278018157868,1554200
