Date,Close,High,Low,Open,Volume
2015-01-02,23.12348175048828,23.22825808947778,22.99452554683388,23.067063603549382,2421600
2015-01-05,22.502883911132812,23.002590460987737,22.381987636301965,22.905872518755334,3434400
2015-01-06,22.17243003845215,22.494820568567768,22.0434738264059,22.494820568567768,1992700
2015-01-07,22.196609497070312,22.446461961161695,22.13212985495199,22.261087601909356,2172200
2015-01-08,22.470643997192383,22.583481852237707,22.34974772283196,22.34974772283196,1524800
2015-01-09,22.277206420898438,22.494820605564122,22.21272831476927,22.462582321139195,2828900
2015-01-12,21.92258071899414,22.132133440712472,21.793624488423077,22.09989515170947,2488700
2015-01-13,21.82586097717285,22.148251527008906,21.60018682364791,22.00317539526283,1601200
2015-01-14,21.688844680786133,21.69690463664716,21.28585611141102,21.61630661531626,3654800
2015-01-15,21.56794548034668,21.91451584877867,21.55988552558324,21.91451584877867,2980300
2015-01-16,21.97093963623047,21.995119506729353,21.44705474032461,21.44705474032461,2105000
2015-01-20,21.71302604675293,21.97899845940369,21.69690613391846,21.96287854656922,1626200
2015-01-21,21.777502059936523,21.914518231252575,21.63242593298078,21.777502059936523,2590700
2015-01-22,21.962879180908203,22.083775456099495,21.77750478979625,21.77750478979625,1732100
2015-01-23,21.97093963623047,22.11601578466462,21.930639852065664,21.954819722564547,1835700
2015-01-26,21.914520263671875,21.995118290264344,21.81780232430501,21.92258022005907,1180900
2015-01-27,22.075712203979492,22.116011981213656,21.793621449736932,21.793621449736932,2233300
2015-01-28,21.51958656311035,22.091829496498057,21.503466654127255,22.083769542006507,1797500
2015-01-29,21.42287254333496,21.592128543887053,21.108541947383177,21.519590477547503,2561800
2015-01-30,21.310035705566406,21.576008096450128,20.995703580137008,21.100481467706597,3414300
2015-02-02,21.87421989440918,21.922579631433887,21.479291265717425,21.479291265717425,1980300
2015-02-03,22.46257972717285,22.615714250746166,22.06764964329878,22.116009370270582,4998000
2015-02-04,22.043474197387695,22.30138662582074,21.946756268085636,22.22078860761558,2442400
2015-02-05,22.478700637817383,22.535118788377694,22.180489974204505,22.188549929610165,2715400
2015-02-06,22.253028869628906,22.559299500126595,22.164370894123017,22.39004504210193,1532200
2015-02-09,22.406166076660156,22.575422092060993,22.317509627906905,22.317509627906905,1471900
2015-02-10,22.244970321655273,22.39810641523475,22.099894184293607,22.39810641523475,1989500
2015-02-11,22.180492401123047,22.244970514144008,22.04347621879357,22.08377446295187,2144800
2015-02-12,22.551237106323242,22.575416970832322,22.37392271176093,22.446460768008965,1593900
2015-02-13,22.631839752197266,22.793035807377507,22.59154150704196,22.704377823300423,2050500
2015-02-17,22.865570068359375,22.93810659009616,22.615716070735566,22.73661232333588,963300
2015-02-18,22.6157169342041,22.7124348623446,22.519000543342916,22.656016711462357,1445600
2015-02-19,22.430349349975586,22.49482747579727,22.26109484617358,22.34169135049085,1191200
2015-02-20,22.33362579345703,22.486761880371507,22.30138750726837,22.454523594182845,1174700
2015-02-23,22.33362579345703,22.414223814847777,22.204669574143598,22.293327551401358,2517200
2015-02-24,22.46257972717285,22.494818007874922,22.23690561314183,22.317503620815703,2584900
2015-02-25,22.68825340270996,22.72049322225253,22.53511733444118,22.61571534601839,945000
